section,per_run
algorithm,profile,pattern,label,run_id,total,success,fail,success_rate,avg_ms,p95_ms,p99_ms,max_ms,source_file
least_connections,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,97.035,106.779,114.329,1092.547,client_lc_db_mixed_50_50_matrix_burst_rep1_run1.csv
least_connections,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,94.755,103.259,109.604,1098.680,client_lc_db_mixed_50_50_matrix_burst_rep2_run1.csv
least_connections,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,98.572,101.640,116.251,1101.081,client_lc_db_mixed_50_50_matrix_burst_rep3_run1.csv
least_connections,db,burst,point_light_matrix,1,500,500,0,100.000,91.643,104.923,109.434,1109.386,client_lc_db_point_light_matrix_burst_rep1_run1.csv
least_connections,db,burst,point_light_matrix,1,500,500,0,100.000,99.619,110.044,118.117,1035.672,client_lc_db_point_light_matrix_burst_rep2_run1.csv
least_connections,db,burst,point_light_matrix,1,500,500,0,100.000,91.575,103.338,108.592,1098.463,client_lc_db_point_light_matrix_burst_rep3_run1.csv
least_connections,db,burst,range_heavy_matrix,1,500,500,0,100.000,99.026,106.469,111.943,1090.461,client_lc_db_range_heavy_matrix_burst_rep1_run1.csv
least_connections,db,burst,range_heavy_matrix,1,500,500,0,100.000,100.298,118.164,126.050,1102.385,client_lc_db_range_heavy_matrix_burst_rep2_run1.csv
least_connections,db,burst,range_heavy_matrix,1,500,500,0,100.000,99.529,109.370,119.559,1096.290,client_lc_db_range_heavy_matrix_burst_rep3_run1.csv
least_connections,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,102.117,110.570,121.779,1100.856,client_lc_db_mixed_50_50_matrix_steady_rep1_run1.csv
least_connections,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,93.408,105.270,113.548,1099.996,client_lc_db_mixed_50_50_matrix_steady_rep2_run1.csv
least_connections,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,99.307,130.831,149.638,1121.334,client_lc_db_mixed_50_50_matrix_steady_rep3_run1.csv
least_connections,db,steady,point_light_matrix,1,500,500,0,100.000,95.174,106.179,116.327,1104.624,client_lc_db_point_light_matrix_steady_rep1_run1.csv
least_connections,db,steady,point_light_matrix,1,500,500,0,100.000,94.925,108.170,116.336,1040.146,client_lc_db_point_light_matrix_steady_rep2_run1.csv
least_connections,db,steady,point_light_matrix,1,500,500,0,100.000,94.774,107.093,112.861,1110.892,client_lc_db_point_light_matrix_steady_rep3_run1.csv
least_connections,db,steady,range_heavy_matrix,1,500,500,0,100.000,96.255,105.246,1039.221,1097.047,client_lc_db_range_heavy_matrix_steady_rep1_run1.csv
least_connections,db,steady,range_heavy_matrix,1,500,500,0,100.000,95.450,111.806,119.237,1102.747,client_lc_db_range_heavy_matrix_steady_rep2_run1.csv
least_connections,db,steady,range_heavy_matrix,1,500,500,0,100.000,94.499,101.525,107.488,1090.073,client_lc_db_range_heavy_matrix_steady_rep3_run1.csv
metric_aware,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,253.233,292.801,322.606,1305.944,client_metric_aware_db_mixed_50_50_matrix_burst_rep1_run1.csv
metric_aware,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,259.550,309.193,1232.010,1283.194,client_metric_aware_db_mixed_50_50_matrix_burst_rep2_run1.csv
metric_aware,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,304.749,371.549,434.875,1405.628,client_metric_aware_db_mixed_50_50_matrix_burst_rep3_run1.csv
metric_aware,db,burst,point_light_matrix,1,500,500,0,100.000,129.667,147.266,163.438,1162.993,client_metric_aware_db_point_light_matrix_burst_rep1_run1.csv
metric_aware,db,burst,point_light_matrix,1,500,500,0,100.000,133.479,166.698,175.114,181.558,client_metric_aware_db_point_light_matrix_burst_rep2_run1.csv
metric_aware,db,burst,point_light_matrix,1,500,500,0,100.000,149.134,173.172,194.631,1226.270,client_metric_aware_db_point_light_matrix_burst_rep3_run1.csv
metric_aware,db,burst,range_heavy_matrix,1,500,500,0,100.000,186.819,216.435,276.683,1248.149,client_metric_aware_db_range_heavy_matrix_burst_rep1_run1.csv
metric_aware,db,burst,range_heavy_matrix,1,500,500,0,100.000,187.366,215.718,237.352,260.617,client_metric_aware_db_range_heavy_matrix_burst_rep2_run1.csv
metric_aware,db,burst,range_heavy_matrix,1,500,500,0,100.000,205.907,235.446,295.880,343.144,client_metric_aware_db_range_heavy_matrix_burst_rep3_run1.csv
metric_aware,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,214.484,249.689,264.883,286.301,client_metric_aware_db_mixed_50_50_matrix_steady_rep1_run1.csv
metric_aware,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,258.015,303.082,339.386,1365.393,client_metric_aware_db_mixed_50_50_matrix_steady_rep2_run1.csv
metric_aware,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,233.111,271.048,323.708,1320.727,client_metric_aware_db_mixed_50_50_matrix_steady_rep3_run1.csv
metric_aware,db,steady,point_light_matrix,1,500,500,0,100.000,102.754,120.477,142.809,1043.225,client_metric_aware_db_point_light_matrix_steady_rep1_run1.csv
metric_aware,db,steady,point_light_matrix,1,500,500,0,100.000,113.708,128.410,132.816,136.601,client_metric_aware_db_point_light_matrix_steady_rep2_run1.csv
metric_aware,db,steady,point_light_matrix,1,500,500,0,100.000,123.324,152.350,168.249,178.332,client_metric_aware_db_point_light_matrix_steady_rep3_run1.csv
metric_aware,db,steady,range_heavy_matrix,1,500,500,0,100.000,169.844,194.717,246.004,1154.259,client_metric_aware_db_range_heavy_matrix_steady_rep1_run1.csv
metric_aware,db,steady,range_heavy_matrix,1,500,500,0,100.000,177.131,209.543,234.674,246.751,client_metric_aware_db_range_heavy_matrix_steady_rep2_run1.csv
metric_aware,db,steady,range_heavy_matrix,1,500,500,0,100.000,178.243,203.311,215.949,232.395,client_metric_aware_db_range_heavy_matrix_steady_rep3_run1.csv
round_robin,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,92.065,101.767,116.204,1074.651,client_rr_db_mixed_50_50_matrix_burst_rep1_run1.csv
round_robin,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,98.096,102.041,1030.989,1099.855,client_rr_db_mixed_50_50_matrix_burst_rep2_run1.csv
round_robin,db,burst,mixed_50_50_matrix,1,500,500,0,100.000,92.136,100.030,105.493,1099.754,client_rr_db_mixed_50_50_matrix_burst_rep3_run1.csv
round_robin,db,burst,point_light_matrix,1,500,500,0,100.000,98.426,106.481,118.884,1102.991,client_rr_db_point_light_matrix_burst_rep1_run1.csv
round_robin,db,burst,point_light_matrix,1,500,500,0,100.000,96.735,109.374,115.324,1106.880,client_rr_db_point_light_matrix_burst_rep2_run1.csv
round_robin,db,burst,point_light_matrix,1,500,500,0,100.000,98.515,112.595,117.723,1116.883,client_rr_db_point_light_matrix_burst_rep3_run1.csv
round_robin,db,burst,range_heavy_matrix,1,500,500,0,100.000,100.387,112.641,126.075,1102.162,client_rr_db_range_heavy_matrix_burst_rep1_run1.csv
round_robin,db,burst,range_heavy_matrix,1,500,500,0,100.000,96.347,115.231,125.199,129.359,client_rr_db_range_heavy_matrix_burst_rep2_run1.csv
round_robin,db,burst,range_heavy_matrix,1,500,500,0,100.000,96.886,106.077,112.653,1038.046,client_rr_db_range_heavy_matrix_burst_rep3_run1.csv
round_robin,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,94.900,106.296,111.570,1035.223,client_rr_db_mixed_50_50_matrix_steady_rep1_run1.csv
round_robin,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,96.520,103.620,115.059,1081.960,client_rr_db_mixed_50_50_matrix_steady_rep2_run1.csv
round_robin,db,steady,mixed_50_50_matrix,1,500,500,0,100.000,95.307,105.520,110.236,1090.512,client_rr_db_mixed_50_50_matrix_steady_rep3_run1.csv
round_robin,db,steady,point_light_matrix,1,500,500,0,100.000,103.278,109.217,1028.778,1106.559,client_rr_db_point_light_matrix_steady_rep1_run1.csv
round_robin,db,steady,point_light_matrix,1,500,500,0,100.000,93.059,106.884,114.284,1032.415,client_rr_db_point_light_matrix_steady_rep2_run1.csv
round_robin,db,steady,point_light_matrix,1,500,500,0,100.000,95.529,104.837,116.518,1092.017,client_rr_db_point_light_matrix_steady_rep3_run1.csv
round_robin,db,steady,range_heavy_matrix,1,500,500,0,100.000,100.568,107.484,1037.613,1098.324,client_rr_db_range_heavy_matrix_steady_rep1_run1.csv
round_robin,db,steady,range_heavy_matrix,1,500,500,0,100.000,96.765,108.299,119.719,1103.052,client_rr_db_range_heavy_matrix_steady_rep2_run1.csv
round_robin,db,steady,range_heavy_matrix,1,500,500,0,100.000,94.423,104.780,114.650,1037.130,client_rr_db_range_heavy_matrix_steady_rep3_run1.csv
